Trt,0min,30min,60min,90min,120min,150min,,,,,,,,,,
Triclosan,0.05,0.09,0.162,0.288,0.451,0.555,,,,,,,,,,
Triclosan,0.099,0.172,0.31,0.465,0.641,0.726,,,,,,,,,,
Triclosan,0.082,0.138,0.263,0.414,0.578,0.675,,,,,,,,,,
Triclosan,0.081,0.161,0.286,0.443,0.608,0.675,,,,,,,,,,
Triclosan,0.069,0.136,0.239,0.405,0.577,0.652,,,,,,,,,,
Triclosan,0.045,0.073,0.131,0.242,0.42,0.58,,,,,,,,,,
Triclosan,0.055,0.105,0.219,0.359,0.473,0.565,,,,,,,,,,
Triclosan,0.059,0.082,0.162,0.293,0.478,0.657,,,,,,,,,,
Triclosan,0.07,0.12,0.21,0.331,0.516,0.658,,,,,,,,,,
Triclosan,0.083,0.174,0.285,0.492,0.684,0.778,,,,,,,,,,
Triclosan,0.099,0.174,0.304,0.472,0.585,0.667,,,,,,,,,,
Triclosan,0.092,0.15,0.249,0.381,0.578,0.655,,,,,,,,,,
Triclosan,0.099,0.188,0.346,0.48,0.591,0.684,,,,,,,,,,
Triclosan,0.086,0.101,0.205,0.333,0.496,0.597,,,,,,,,,,
Triclosan,0.099,0.191,0.299,0.455,0.61,0.686,,,,,,,,,,
